Topic,Count,Name,Representation,Representative_Docs,KeyBERT,MMR,Noun,Adjective,Verb,Adverb,Interjection,Number,Proper Noun,Symbol,URL,Hashtag,Mention,Organisation,Person,Nationalities or Religious or Political Groups,Facility,Geopolitical Entity,Location,Product,Event,Date,Percent,Money,Quantity,Ordinal,Cardinal,Emoji,Topic_,processed_KeyBERT,Topic_Label
0,312,0_video_dead_want_best,"['video', 'dead', 'want', 'best', 'seriously', 'love', 'truth', 'look', 'better', 'wait']","[""Y'all just want us dead man."", 'they want us dead', ""I'm done with you guys""]","['stop', 'die', 'seriously', 'truth', 'killing', 'killed', 'dead', 'dont', 'dying', 'care']","['video', 'dead', 'want', 'best', 'seriously', 'love', 'truth', 'look', 'better', 'wait']","['video', 'truth', 'joke', 'guy', 'hope', 'nation', '', '', '', '']","['dead', 'best', 'better', 'safe', '', '', '', '', '', '']","['want', 'love', 'look', 'die', 'thought', 'telling', 'getting', 'said', 'taking', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.0,"['stop', 'die', 'seriously', 'truth', 'killing', 'killed', 'dead', 'dont', 'dying', 'care']",care
1,297,1_case_africa_breaking_patient,"['case', 'africa', 'breaking', 'patient', 'president', 'year', 'health', 'experts', 'news', 'mkhize']","['Coronavirus to South Africa', 'First case of #coronavirus confirmed in South Africa', 'The first case of #Coronavirus in SOUTH AFRICA']","['coronaviruschallenge', 'coronavirusoutbreak', 'covid19sa', 'coronvirussa', 'africa', 'flu', 'infected', 'coronaalert', 'sa', 'southafrica']","['case', 'africa', 'breaking', 'patient', 'president', 'year', 'health', 'experts', 'news', 'mkhize']","['case', 'patient', 'health', 'president', 'year', 'news', 'experts', 'department', 'world', 'today']","['second', 'safe', 'worst', 'past', 'fake', 'good', 'new', 'best', '', '']","['said', 'spread', 'spreading', 'arrived', 'hope', 'come', 'panic', 'test', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['president', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['year', 'today', 'days', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['good', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['second', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.1,"['coronaviruschallenge', 'coronavirusoutbreak', 'covid19sa', 'coronvirussa', 'africa', 'flu', 'infected', 'coronaalert', 'sa', 'southafrica']",africa
2,239,2_kill_cause_symptoms_getting,"['kill', 'cause', 'symptoms', 'getting', 'spread', 'sure', 'air', 'coz', 'thanks', 'thought']","['Corona virus is here', 'All because of Corona Virus', 'What is corona virus?']","['virus outbreak', 'spread virus', 'outbreak', 'flu', 'infected', 'coughing', 'precautions', 'hope', 'prevention', 'symptoms']","['kill', 'cause', 'symptoms', 'getting', 'spread', 'sure', 'air', 'coz', 'thanks', 'thought']","['cause', 'symptoms', 'air', 'flu', 'contact', 'years', 'person', 'touch', 'virus', '']","['sure', 'infected', 'great', 'safe', '', '', '', '', '', '']","['kill', 'cause', 'spread', 'let', 'thought', 'infected', 'guess', 'want', 'believe', 'came']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['nje', 'virus', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['years', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.2,"['virus outbreak', 'spread virus', 'outbreak', 'flu', 'infected', 'coughing', 'precautions', 'hope', 'prevention', 'symptoms']",coughing
3,203,3_coronavirusoutbreak_coronaviruschallenge_coronaalert_coronvirussa,"['coronavirusoutbreak', 'coronaviruschallenge', 'coronaalert', 'coronvirussa', 'feel', 'ready', 'hard', 'man', 'keadrive', 'let']","[""#CoronaVirusSA #CoronaAlert #CoronavirusOutbreak Here's what you need to know!"", 'Facts about #Coronvirus #CoronaVirusSA #CoronaAlert #CoronavirusOutbreak', ""After #CoronaVirus What's Next ?""]","['coronavirusoutbreak', 'coronaviruschallenge', 'covid_19', 'coronvirussa', 'spread virus', 'coronaalert', 'concern', 'spreading', 'die', 'kill']","['coronavirusoutbreak', 'coronaviruschallenge', 'coronaalert', 'coronvirussa', 'feel', 'ready', 'hard', 'man', 'keadrive', 'let']","['coronaviruschallenge', 'man', 'ke', 'family', 'woman', 'group', 'president', '', '', '']","['ready', '', '', '', '', '', '', '', '', '']","['feel', 'let', 'killing', 'die', 'trying', 'come', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['ke', 'mr', 'virus', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.3,"['coronavirusoutbreak', 'coronaviruschallenge', 'covid_19', 'coronvirussa', 'spread virus', 'coronaalert', 'concern', 'spreading', 'die', 'kill']",concern
4,139,4_quarantine_group_went_came,"['quarantine', 'group', 'went', 'came', '10', 'travel', 'europe', 'person', 'guy', 'coming']","['What if these people who go and contract #coronavirus in Italy are paid agents to spread this shit in Afrika? A person who was tested positive in Nigeria also visited Italy', ""Why is our government like this? We all know by now that there's 10 people that came Italy why are they not quarantine somewhere? via"", 'So these people travelled to Italy despite the Corona Virus Cases That Were Reported In Italy?']","['pandemic', 'coronavirusoutbreak', 'quarantine', 'outbreak', 'spread virus', 'coronvirussa', 'concern', 'infected', 'travel', 'risk']","['quarantine', 'group', 'went', 'came', '10', 'travel', 'europe', 'person', 'guy', 'coming']","['group', 'travel', 'person', 'guy', 'family', 'country', 'air', 'home', 'symptoms', 'point']","['quarantine', 'dead', 'white', 'local', 'pandemic', '', '', '', '', '']","['quarantine', 'went', 'came', 'travel', 'arrived', 'brought', 'happened', 'spread', 'ask', 'need']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['white', 'amp', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['amp', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.4,"['pandemic', 'coronavirusoutbreak', 'quarantine', 'outbreak', 'spread virus', 'coronvirussa', 'concern', 'infected', 'travel', 'risk']",concern
5,121,5_vele_kanti_nje_wow,"['vele', 'kanti', 'nje', 'wow', 'africa', 'ke', 'watching', 'dont', 'mean', 'ya']","['South Africa and South Africans are a joke!!!', 'South Africa can never be serious', 'South Africa are we next ?']","['africa', 'sa', 'country', 'europe', 'world', 'borders', 'vele', 'joke', 'mkhize', 'kanti']","['vele', 'kanti', 'nje', 'wow', 'africa', 'ke', 'watching', 'dont', 'mean', 'ya']","['vele', 'nje', 'country', 'touch', 'lot', 'group', 'face', 'death', 'work', 'case']","['bad', '', '', '', '', '', '', '', '', '']","['watching', 'mean', 'let', 'travel', 'hope', 'want', 'panic', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['wow', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['vele', 'kanti', 'africa', 'nje', 'ke', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['nje', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['africa', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.5,"['africa', 'sa', 'country', 'europe', 'world', 'borders', 'vele', 'joke', 'mkhize', 'kanti']",africa
6,84,6_death_10_started_fake,"['death', '10', 'started', 'fake', 'believe', 'population', 'spreading', 'local', 'days', 'guy']","['I never thought our death would be MADE IN CHINA #coronavirus', 'Since CHINA is SA\'s trade partner and hence most products sold locally are branded ""MADE IN CHINA"",the deadly CORONA VIRUS is from CHINA,is death from CHINA as well?I\'m just asking but not insinuating.', 'So our death is also made from China. #CoronaVirus']","['covid_19', 'covid19sa', 'virus outbreak', 'coronvirussa', 'risk', 'country', 'iran', 'deaths', 'borders', 'prevent']","['death', '10', 'started', 'fake', 'believe', 'population', 'spreading', 'local', 'days', 'guy']","['death', 'spreading', 'population', 'days', 'guy', 'control', 'world', 'face', 'panic', 'situation']","['fake', 'local', 'ready', '', '', '', '', '', '', '']","['started', 'fake', 'believe', 'spreading', 'thought', 'asking', 'help', 'saying', 'mean', 'prevent']","['', '', '', '', '', '', '', '', '', '']","['ah', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['amp', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['amp', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['days', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.6,"['covid_19', 'covid19sa', 'virus outbreak', 'coronvirussa', 'risk', 'country', 'iran', 'deaths', 'borders', 'prevent']",borders
7,60,7_hand_touch_avoid_face,"['hand', 'touch', 'avoid', 'face', 'coughing', 'spread virus', 'prevent', 'prevention', 'contact', 'dear']","['I wonder those without water how will they wash their hands.  #CoronaVirus', 'A world with the Corona virus, please wash your hands', 'Tips to reduce spread or infection with corona virus: 1. Wash hands frequently with alcohol-based hand rub or soap and water. 2. Cover your mouth and nose when coughing with hand or flexed elbow. If using a tissue make sure to throw it away immediately.']","['virus outbreak', 'spread virus', 'pandemic', 'outbreak', 'prevention', 'hand', 'touch', 'prevent', 'avoid', 'health']","['hand', 'touch', 'avoid', 'face', 'coughing', 'spread virus', 'prevent', 'prevention', 'contact', 'dear']","['hand', 'face', 'prevention', 'contact', 'prepared', 'check', 'spread', 'point', 'risk', 'issues']","['close', 'fake', 'sure', '', '', '', '', '', '', '']","['touch', 'avoid', 'face', 'coughing', 'prevent', 'came', 'fight', 'need', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['amp', 'virus', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",1.7,"['virus outbreak', 'spread virus', 'pandemic', 'outbreak', 'prevention', 'hand', 'touch', 'prevent', 'avoid', 'health']",avoid
0,1003,0_south africa_africa_south africans_south,"['south africa', 'africa', 'south africans', 'south', 'africans', 'african', 'ban', 'south african', 'travel', 'cases']","['Did you say South Africans?', 'Which South Africans in which South Africa??', 'South Africa is on 7 now']","['coronavirussouthafrica', 'covid19sa', 'coronavirusupdates', 'covid_19', 'coronavirusupdate', 'south african', 'south africa', 'coronavirusoutbreak', 'africa', 'south africans']","['south africa', 'africa', 'south africans', 'south', 'africans', 'african', 'ban', 'south african', 'travel', 'cases']","['africans', 'travel', 'ban', 'cases', 'countries', 'risk', 'spread', 'deaths', 'media', 'issue']","['south', 'high', 'difficult', 'real', 'stupid', 'certain', 'isolated', '', '', '']","['confirmed', 'affected', 'traveling', 'reported', 'closed', 'taking', 'dying', 'curb', 'address', 'according']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['24', '100', '18', '', '', '', '', '', '', '']","['africa', 'south', 'africans', 'amp', 'virus', 'island', 'ba', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['africans', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['africa', 'south', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['18', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['24', '100', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",2.0,"['coronavirussouthafrica', 'covid19sa', 'coronavirusupdates', 'covid_19', 'coronavirusupdate', 'south african', 'south africa', 'coronavirusoutbreak', 'africa', 'south africans']",africa
1,952,1_funny_nigga_die_le,"['funny', 'nigga', 'die', 'le', 'know', 'wena', 'ya', 'wow', 'ke', 'look']","['Someone must die first?', ""Really, I don't know about it?"", ""Not yet. We don't know.""]","['die', 'dies', 'funny', 'hell', 'laugh', 'jokes', 'life', 'nigga', 'wanna', 'ke']","['funny', 'nigga', 'die', 'le', 'know', 'wena', 'ya', 'wow', 'ke', 'look']","['wena', 'ya', 'son', 'time', 'vele', 'ways', 'traffic', 'millions', 'calm', 'app']","['funny', 'nigga', 'bad', 'real', 'damn', '', '', '', '', '']","['die', 'know', 'wena', 'wait', 'leave', 'feel', 'choose', 'gon', 'run', '']","['', '', '', '', '', '', '', '', '', '']","['wow', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['millions', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",2.1,"['die', 'dies', 'funny', 'hell', 'laugh', 'jokes', 'life', 'nigga', 'wanna', 'ke']",die
2,526,2_coronavirusoutbreak_coronavirusupdate_covid_19_coronaviruspandemic,"['coronavirusoutbreak', 'coronavirusupdate', 'covid_19', 'coronaviruspandemic', 'coronavirussouthafrica', 'coronavirusupdates', 'coronavirusupdates covid19sa', 'covid2019', 'covid19sa', 'coronaoutbreak']","['How did we get here?  #CoronavirusOutbreak', 'COVID-19 is a PANDEMIC', 'This is Covid-19']","['coronavirusupdates covid19sa', 'covid19sa coronavirusupdates', 'covid_19 coronavirusupdate', 'coronavirusupdate covid_19', 'covid_19', 'coronavirussouthafrica', 'covid2019', 'coronaviruspandemic', 'coronavirusupdate', 'coronavirusoutbreak']","['coronavirusoutbreak', 'coronavirusupdate', 'covid_19', 'coronaviruspandemic', 'coronavirussouthafrica', 'coronavirusupdates', 'coronavirusupdates covid19sa', 'covid2019', 'covid19sa', 'coronaoutbreak']","['earth', 'face', 'peace', '', '', '', '', '', '', '']","['anti', 'social', '', '', '', '', '', '', '', '']","['wipe', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",2.2,"['coronavirusupdates covid19sa', 'covid19sa coronavirusupdates', 'covid_19 coronavirusupdate', 'coronavirusupdate covid_19', 'covid_19', 'coronavirussouthafrica', 'covid2019', 'coronaviruspandemic', 'coronavirusupdate', 'coronavirusoutbreak']",coronavirusupdates covid19sa
3,396,3_guy_catch_plus_girl,"['guy', 'catch', 'plus', 'girl', 'dance', 'mom', 'mos', 'started', 'coz', 'hectic']","['Corona or not Corona running is our thing. No one can stop us', 'Happy birthday to hope you have a great day ahead .... Corona! Corona! Corona!', ""Whatever this Corona various is, i just can't  , i didn't""]","['hope', 'busy', 'plus', 'bro', 'saying', 'right', 'struggle', 'says', 'poor', 'life']","['guy', 'catch', 'plus', 'girl', 'dance', 'mom', 'mos', 'started', 'coz', 'hectic']","['guy', 'girl', 'dance', 'mom', 'coz', 'child', 'chance', 'loadshedding', 'wits', 'delivery']","['wrong', 'white', '', '', '', '', '', '', '', '']","['catch', 'started', 'kill', 'wanted', 'blame', 'imagine', 'starts', 'getting', 'come', 'says']","['', '', '', '', '', '', '', '', '', '']","['hi', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['coz', 'amp', 'ko', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['ko', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",2.3,"['hope', 'busy', 'plus', 'bro', 'saying', 'right', 'struggle', 'says', 'poor', 'life']",busy
4,367,4_season_suspended_cancelled_postponed,"['season', 'suspended', 'cancelled', 'postponed', 'sports', 'suspend', 'events', 'cancel', 'win', 'sporting']","['Cancel the Premier League', ""The epitome of irony will be if the Premier League is cancelled and Liverpool don't win the league as a result of the #coronavirus"", 'Could it be that Liverpool really not win the league']","['coronaviruspandemic', 'postponed', 'covid_19', 'cancelled', 'canceled', 'pandemic', 'sporting', 'outbreak', 'sports', 'cancel']","['season', 'suspended', 'cancelled', 'postponed', 'sports', 'suspend', 'events', 'cancel', 'win', 'sporting']","['season', 'sports', 'events', 'sporting', 'cup', 'weekend', 'year', 'event', 'world', 'meeting']","['global', 'dangerous', 'better', 'annoying', 'actual', 'safe', 'social', 'aware', 'immediate', 'young']","['suspended', 'cancelled', 'postponed', 'suspend', 'win', 'postpone', 'feel', 'catch', 'following', 'waiting']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['2020', '', '', '', '', '', '', '', '', '']","['amp', 'virus', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['2020', 'ahead', 'months', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['season', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",2.4,"['coronaviruspandemic', 'postponed', 'covid_19', 'cancelled', 'canceled', 'pandemic', 'sporting', 'outbreak', 'sports', 'cancel']",cancel
5,337,5_man virus_dog_brand_worried,"['man virus', 'dog', 'brand', 'worried', 'useful', 'virus outbreak', 'car', 'dogs', 'man', 'virus']","[""There's Corona virus and then there's you."", 'In this Corona virus', 'Because of Corona Virus???']","['virus outbreak', 'virus world', 'man virus', 'virus spread', 'outbreak', 'infectious', 'virus', 'deal virus', 'flu', 'vaccine']","['man virus', 'dog', 'brand', 'worried', 'useful', 'virus outbreak', 'car', 'dogs', 'man', 'virus']","['virus', 'dog', 'brand', 'dogs', 'beer', 'sales', 'stats', 'status', 'humanity', 'folks']","['worried', 'useful', 'immune', 'sick', 'scary', 'important', 'high', 'weak', '', '']","['worried', 'caused', 'outbreak', 'support', 'teaching', 'carry', 'fighting', 'contact', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['virus', 'amp', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '']",2.5,"['virus outbreak', 'virus world', 'man virus', 'virus spread', 'outbreak', 'infectious', 'virus', 'deal virus', 'flu', 'vaccine']",deal
